structure d50
trjconv_1hsi_910.pdb 5.19905760691
trjconv_1hsi_972.pdb 4.79658211647
trjconv_1hsi_657.pdb 5.41030498216
trjconv_1hsi_373.pdb 4.55309784652
trjconv_1hsi_707.pdb 4.88191560763
trjconv_1hsi_375.pdb 4.93159203503
trjconv_1hsi_164.pdb 5.59849979905
trjconv_1hsi_831.pdb 5.29286311933
trjconv_1hsi_494.pdb 4.93037523927
trjconv_1hsi_156.pdb 4.86719631821
trjconv_1hsi_491.pdb 5.89389514668
trjconv_1hsi_820.pdb 5.62064942867
trjconv_1hsi_578.pdb 4.91797722646
trjconv_1hsi_991.pdb 4.80131232061
trjconv_1hsi_112.pdb 5.12400234192
trjconv_1hsi_464.pdb 5.05891292671
trjconv_1hsi_441.pdb 5.36012126728
trjconv_1hsi_220.pdb 4.82203276638
trjconv_1hsi_683.pdb 4.73903998717
trjconv_1hsi_823.pdb 4.93370043679
trjconv_1hsi_962.pdb 4.8772943319
trjconv_1hsi_323.pdb 4.73482840238
trjconv_1hsi_476.pdb 5.82431970276
trjconv_1hsi_776.pdb 5.01204549062
trjconv_1hsi_680.pdb 4.63090703858
trjconv_1hsi_388.pdb 4.914285299
trjconv_1hsi_928.pdb 5.01642302841
trjconv_1hsi_900.pdb 5.12411943655
trjconv_1hsi_916.pdb 5.00444802151
trjconv_1hsi_390.pdb 5.09090365259
trjconv_1hsi_338.pdb 4.90653645661
trjconv_1hsi_822.pdb 4.72974629341
trjconv_1hsi_444.pdb 4.63618377548
trjconv_1hsi_16.pdb 4.79394409646
trjconv_1hsi_256.pdb 5.35710742845
trjconv_1hsi_818.pdb 5.02277811574
trjconv_1hsi_36.pdb 5.11402972224
trjconv_1hsi_120.pdb 5.77129101675
trjconv_1hsi_923.pdb 4.79147159023
trjconv_1hsi_852.pdb 4.92330173766
trjconv_1hsi_765.pdb 5.07957675402
trjconv_1hsi_922.pdb 5.62133436116
trjconv_1hsi_400.pdb 5.5079306459
trjconv_1hsi_259.pdb 5.02630082665
trjconv_1hsi_941.pdb 4.78126552285
trjconv_1hsi_911.pdb 5.38722563106
trjconv_1hsi_789.pdb 4.88984662336
trjconv_1hsi_615.pdb 5.1436757285
trjconv_1hsi_248.pdb 4.84855648621
trjconv_1hsi_295.pdb 5.52330516991
trjconv_1hsi_446.pdb 5.04330248944
trjconv_1hsi_773.pdb 5.2700853883
trjconv_1hsi_331.pdb 4.60413944185
trjconv_1hsi_414.pdb 5.2860098373
trjconv_1hsi_482.pdb 4.61866863934
trjconv_1hsi_416.pdb 5.67952462799
trjconv_1hsi_192.pdb 6.18970920157
trjconv_1hsi_439.pdb 4.8172191148
trjconv_1hsi_942.pdb 5.24939996571
trjconv_1hsi_396.pdb 4.67255818583
trjconv_1hsi_335.pdb 4.65748859365
trjconv_1hsi_124.pdb 4.15684976876
trjconv_1hsi_316.pdb 4.77420150392
trjconv_1hsi_802.pdb 4.75518664197
trjconv_1hsi_779.pdb 4.9002550954
trjconv_1hsi_500.pdb 4.7095965857
trjconv_1hsi_571.pdb 5.15881769401
trjconv_1hsi_558.pdb 5.29951884608
trjconv_1hsi_333.pdb 4.66040770749
trjconv_1hsi_157.pdb 4.65640419208
trjconv_1hsi_974.pdb 4.51075381727
trjconv_1hsi_538.pdb 5.46413762638
